sub,ses,task,run,filename,number_of_TRs,abnormal_TR,error_run,note,sleepiness__1_7_scale_,alertness,focus,confidence,alignment,tmask_filepath,tmask_filename,num_tps_retained,percent_tps_retained,fFD_filepath,fFD_filename,mean_fFD,max_fFD
sub-INET001,ses-3,task-rest,run-07,sub-INET001_ses-3_task-rest_run-07_bold.nii.gz,270,0,NA,NA,1,NA,NA,NA,include,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-3/func/FD_outputs/sub-INET001_ses-3_task-rest_run-07_desc-tmask_fFD.txt,sub-INET001_ses-3_task-rest_run-07_desc-tmask_fFD.txt,265,98.14814815,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-3/func/FD_outputs/sub-INET001_ses-3_task-rest_run-07_desc-fFD.txt,sub-INET001_ses-3_task-rest_run-07_desc-fFD.txt,0.021018917,0.070445514
sub-INET001,ses-3,task-rest,run-08,sub-INET001_ses-3_task-rest_run-08_bold.nii.gz,270,0,NA,NA,NaN,NA,NA,NA,include,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-3/func/FD_outputs/sub-INET001_ses-3_task-rest_run-08_desc-tmask_fFD.txt,sub-INET001_ses-3_task-rest_run-08_desc-tmask_fFD.txt,265,98.14814815,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-3/func/FD_outputs/sub-INET001_ses-3_task-rest_run-08_desc-fFD.txt,sub-INET001_ses-3_task-rest_run-08_desc-fFD.txt,0.021878816,0.083298097
sub-INET001,ses-4,task-rest,run-01,sub-INET001_ses-4_task-rest_run-01_bold.nii.gz,49,1,1,"1st time stopped early, restarted",NaN,NA,NA,NA,include,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-4/func/FD_outputs/sub-INET001_ses-4_task-rest_run-01_desc-tmask_fFD.txt,sub-INET001_ses-4_task-rest_run-01_desc-tmask_fFD.txt,44,89.79591837,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-4/func/FD_outputs/sub-INET001_ses-4_task-rest_run-01_desc-fFD.txt,sub-INET001_ses-4_task-rest_run-01_desc-fFD.txt,0.03821471,0.082994656
sub-INET001,ses-4,task-rest,run-02,sub-INET001_ses-4_task-rest_run-02_bold.nii.gz,270,0,NA,NA,1,NA,NA,NA,include,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-4/func/FD_outputs/sub-INET001_ses-4_task-rest_run-02_desc-tmask_fFD.txt,sub-INET001_ses-4_task-rest_run-02_desc-tmask_fFD.txt,264,97.77777778,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-4/func/FD_outputs/sub-INET001_ses-4_task-rest_run-02_desc-fFD.txt,sub-INET001_ses-4_task-rest_run-02_desc-fFD.txt,0.023637592,0.147843611
sub-INET001,ses-4,task-rest,run-03,sub-INET001_ses-4_task-rest_run-03_bold.nii.gz,270,0,NA,NA,1,NA,NA,NA,include,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-4/func/FD_outputs/sub-INET001_ses-4_task-rest_run-03_desc-tmask_fFD.txt,sub-INET001_ses-4_task-rest_run-03_desc-tmask_fFD.txt,262,97.03703704,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-4/func/FD_outputs/sub-INET001_ses-4_task-rest_run-03_desc-fFD.txt,sub-INET001_ses-4_task-rest_run-03_desc-fFD.txt,0.019381248,0.190638681
sub-INET001,ses-4,task-rest,run-04,sub-INET001_ses-4_task-rest_run-04_bold.nii.gz,270,0,NA,NA,NaN,NA,NA,NA,include,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-4/func/FD_outputs/sub-INET001_ses-4_task-rest_run-04_desc-tmask_fFD.txt,sub-INET001_ses-4_task-rest_run-04_desc-tmask_fFD.txt,256,94.81481481,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-4/func/FD_outputs/sub-INET001_ses-4_task-rest_run-04_desc-fFD.txt,sub-INET001_ses-4_task-rest_run-04_desc-fFD.txt,0.03129959,0.258101148
sub-INET001,ses-4,task-rest,run-05,sub-INET001_ses-4_task-rest_run-05_bold.nii.gz,270,0,NA,NA,1,NA,NA,NA,include,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-4/func/FD_outputs/sub-INET001_ses-4_task-rest_run-05_desc-tmask_fFD.txt,sub-INET001_ses-4_task-rest_run-05_desc-tmask_fFD.txt,242,89.62962963,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-4/func/FD_outputs/sub-INET001_ses-4_task-rest_run-05_desc-fFD.txt,sub-INET001_ses-4_task-rest_run-05_desc-fFD.txt,0.04121494,0.420555682
sub-INET001,ses-4,task-rest,run-06,sub-INET001_ses-4_task-rest_run-06_bold.nii.gz,270,0,NA,NA,1,NA,NA,NA,include,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-4/func/FD_outputs/sub-INET001_ses-4_task-rest_run-06_desc-tmask_fFD.txt,sub-INET001_ses-4_task-rest_run-06_desc-tmask_fFD.txt,254,94.07407407,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-4/func/FD_outputs/sub-INET001_ses-4_task-rest_run-06_desc-fFD.txt,sub-INET001_ses-4_task-rest_run-06_desc-fFD.txt,0.03164939,0.20747766
sub-INET001,ses-4,task-rest,run-07,sub-INET001_ses-4_task-rest_run-07_bold.nii.gz,270,0,NA,NA,1,NA,NA,NA,include,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-4/func/FD_outputs/sub-INET001_ses-4_task-rest_run-07_desc-tmask_fFD.txt,sub-INET001_ses-4_task-rest_run-07_desc-tmask_fFD.txt,253,93.7037037,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-4/func/FD_outputs/sub-INET001_ses-4_task-rest_run-07_desc-fFD.txt,sub-INET001_ses-4_task-rest_run-07_desc-fFD.txt,0.036433548,0.233818331
sub-INET001,ses-4,task-rest,run-08,sub-INET001_ses-4_task-rest_run-08_bold.nii.gz,270,0,NA,NA,1,NA,NA,NA,include,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-4/func/FD_outputs/sub-INET001_ses-4_task-rest_run-08_desc-tmask_fFD.txt,sub-INET001_ses-4_task-rest_run-08_desc-tmask_fFD.txt,244,90.37037037,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-4/func/FD_outputs/sub-INET001_ses-4_task-rest_run-08_desc-fFD.txt,sub-INET001_ses-4_task-rest_run-08_desc-fFD.txt,0.034203072,0.204958668
